CollectionID,Patch_Bucket,PlusDays,StartHour,StartMinute,HourDuration,MinuteDuration
SMS00000,MW_3Wed_2300_0500,8,23,0,6,0
SMS00001,MW_3Wed_2300_0100,8,23,0,2,0
SMS00002,MW_3Thu_2300_0100,9,23,0,2,0
SMS00003,MW_3Thu_0100_0300,9,1,0,2,0
SMS00004,MW_3Thu_0300_0500,9,3,0,2,0
SMS00005,MW_3Thu_1700_1900,9,17,0,2,0
SMS00006,MW_3Thu_1900_2100,9,19,0,2,0
SMS00007,MW_3Thu_2100_2300,9,21,0,2,0
SMS00008,MW_3Tue_2300_0100,7,23,0,2,0
SMS00009,MW_3Tue_0100_0300,7,1,0,2,0
SMS00010,MW_3Tue_0300_0500,7,3,0,2,0
SMS00011,MW_3Tue_1500_1700,7,15,0,2,0
SMS00012,MW_3Tue_1700_1900,7,17,0,2,0
SMS00013,MW_3Tue_1900_2100,7,19,0,2,0
SMS00014,MW_3Tue_2100_2300,7,21,0,2,0
SMS00015,MW_3Wed_0100_0300,8,1,0,2,0
SMS00016,MW_3Wed_0300_0500,8,3,0,2,0
SMS00017,MW_3Wed_1700_1900,8,17,0,2,0
SMS00018,MW_3Wed_1900_2100,8,19,0,2,0
SMS00019,MW_3Wed_2100_2300,8,21,0,2,0
SMS00020,MW_3Wed_2000_0500,1,20,0,9,0
